Rank;UCI ID;Name;Nationality;Team Code;Age;Points
232;10008692594;RIABUSHENKO Aleksandr;BELARUS;UAD;23;55
233;10010090307;CRAS Steff;BELGIUM;TKA;22;55
234;10003204418;GESCHKE Simon;GERMANY;SUN;32;54,19
235;10002420132;TEN DAM Laurens;NETHERLANDS;SUN;38;53,62
236;10004439449;BAUER Jack;NEW ZEALAND;MTS;33;53,45
237;10009037552;RESTREPO VALENCIA Jhonatan;COLOMBIA;TKA;24;53
238;10008694113;SCHMIDT Mads Würtz;DENMARK;TKA;24;51
239;10005866662;POLJANSKI Pawel;POLAND;BOH;28;51
240;10094809295;GRIVKO Andriy;UKRAINE;AST;35;50
241;10007524251;MEINTJES Louis;SOUTH AFRICA;DDD;26;50
242;10003223414;KOCHETKOV Pavel;RUSSIAN FEDERATION;TKA;32;50
243;10006467254;BROWN Nathan;UNITED STATES OF AMERICA;EFD;27;50
244;10005617492;THWAITES Scott;GREAT BRITAIN;DDD;28;49
245;10003308993;MØRKØV Michael;DENMARK;QST;33;49
246;10004313147;WYNANTS Maarten;BELGIUM;TLJ;36;48
247;10002839151;MARTENS Paul;GERMANY;TLJ;35;48
248;10010041100;STALNOV Nikita;KAZAKHSTAN;AST;27;48
249;10008915492;BASSO Leonardo;ITALY;SKY;25;46
250;10005457646;OLIVEIRA Nelson;PORTUGAL;MOV;29;46
251;10007723103;DOMONT Axel;FRANCE;ALM;28;45
252;10006291240;DURBRIDGE Luke;AUSTRALIA;MTS;27;44,45
253;10007516773;SENECHAL Florian;FRANCE;QST;25;44
254;10006564860;SEPULVEDA Eduardo;ARGENTINA;MOV;27;44
255;10006655901;SÜTTERLIN Jasha;GERMANY;MOV;26;43
256;10045463375;WALSCHEID Maximilian Richard;GERMANY;SUN;25;43
257;10005335283;DECLERCQ Tim;BELGIUM;QST;29;42,55
258;10008699264;VAN HOOYDONCK Nathan;BELGIUM;BMC;23;42
259;10003236043;PFINGSTEN Christoph;GERMANY;BOH;31;42
260;10004880191;KENNAUGH Peter;GREAT BRITAIN;BOH;29;42
261;10002833794;LANGEVELD Sebastian;NETHERLANDS;EFD;33;41
262;10003264941;TLEUBAYEV Ruslan;KAZAKHSTAN;;31;40
263;10004595558;MEYER Cameron;AUSTRALIA;MTS;30;40
264;10003092765;CATALDO Dario;ITALY;AST;33;40
265;10003257160;KIŠERLOVSKI Robert;CROATIA;TKA;32;40
266;10007513541;PIBERNIK Luka;SLOVENIA;TBM;25;39
267;10006484533;VAN HOECKE Gijs;BELGIUM;TLJ;27;39
268;10002695267;MORABITO Steve;SWITZERLAND;GFC;35;39
269;10010982909;HINDLEY Jai;AUSTRALIA;SUN;22;39
270;10010096569;PADUN Mark;UKRAINE;TBM;22;39
