Road champ;Road day;Road month;Road year;Road winner;Clm champ;Clm day;Clm month;Clm year;Clm winner
Q30332625;27;6;2010;Q2119646;Q30333137;22;6;2011;Q6242
Q31298588;27;6;2010;Q65015674;Q31271024;23;6;2011;Q17097907
Q31092105;26;6;2010;Q513806;Q45084575;7;1;2011;Q7561767
Q45171831;26;6;2010;Q19662256;Q30456396;23;6;2011;Q271005
Q30349432;26;6;2010;Q235027;Q45084954;24;6;2011;Q11977528
Q45172237;5;9;2010;Q19518535;Q32611136;24;6;2011;Q55152681
Q30577809;26;6;2010;Q19518713;Q29034408;3;2;2011;Q1070242
Q31271587;30;5;2010;Q7132097;Q31272638;23;6;2011;Q2833251
Q51332671;3;4;2010;Q63570661;Q30332486;26;6;2011;Q19518897
Q53869580;16;5;2010;Q25976181;Q31300263;24;6;2011;Q65015845
Q50404774;4;7;2010;Q54521573;Q30584268;23;6;2011;Q2055364
Q30349468;27;6;2010;Q239853;Q45171898;23;6;2011;Q19324522
Q55221006;26;6;2010;Q19605352;Q30349441;22;6;2011;Q1337252
Q55791222;31;10;2010;Q63537402;Q30577837;24;6;2011;Q439488
Q64624273;27;6;2010;Q64624676;Q51332422;22;4;2011;Q63434983
Q45172931;27;6;2010;Q3015066;Q51332630;1;4;2011;Q19518661
Q65179486;27;6;2010;Q19281840;Q50404789;12;6;2011;Q54521573
Q66380104;20;6;2010;Q66426969;Q55220999;22;7;2011;Q19605352
Q66498425;11;7;2010;Q66498836;Q64624304;29;6;2011;Q64624676
Q66565514;25;4;2010;Q66625277;Q45172978;25;6;2011;Q3015066
Q64706798;7;3;2010;Q26713778;Q65179447;25;6;2011;Q19281840
Q70008153;14;11;2010;Q70733581;Q66427071;3;4;2011;Q19609824
Q55185809;13;6;2010;Q70767214;Q66498528;21;8;2011;Q66498873
Q43744865;25;4;2010;Q2947467;Q66565582;14;5;2011;Q66625277
Q43288961;25;6;2011;Q43304308;Q64706802;16;4;2011;Q26713778
Q30349499;26;6;2011;Q2159758;Q70008310;11;12;2011;Q70733729
Q29051258;8;1;2011;Q468953;Q55185811;29;5;2011;Q70768451
Q31094517;26;6;2011;Q179851;Q43744788;25;6;2011;Q2947467
Q30332924;26;6;2011;Q3061376;Q43288988;23;6;2012;Q16940519
Q31271624;26;6;2011;Q2688957;Q30349507;21;6;2012;Q441239
Q31096609;24;6;2011;Q16211389;Q29043254;10;1;2012;Q460460
Q43307022;7;9;2011;Q22957743;Q31093255;17;5;2012;Q65650
Q30349395;25;6;2011;Q16223383;Q43286663;2;5;2012;Q434958
Q31505332;26;6;2011;Q231036;Q29642128;15;8;2012;Q1654378
Q30349364;25;6;2011;Q1569983;Q31271615;22;6;2012;Q2688957
Q31271605;25;6;2011;Q18630283;Q31096001;21;6;2012;Q232682
Q43745198;21;6;2011;Q642666;Q43307035;14;11;2012;Q440752
Q30332239;2;7;2011;Q459043;Q30349411;22;6;2012;Q16223383
Q30332844;25;6;2011;Q516597;Q31506358;20;6;2012;Q436485
Q30349468;26;6;2011;Q254811;Q30349371;21;6;2012;Q2471605
