Rank,UCI ID,Name,Nationality,Team Code,Age,Points
192,10004520382,SOLOMENNIKOV Andrei,RUSSIAN FEDERATION,TIK,25,77
193,10004833513,PEETERS Kevin,BELGIUM,LAN,25,77
194,10006393795,VERMEULEN Franck,FRANCE,VRU,36,"76,5"
195,10004629914,JUODVALKIS Egidijus,LITHUANIA,LAN,24,76
196,10005747737,KRASNOV Leonid,RUSSIAN FEDERATION,RVL,24,76
197,10007855869,SCHMIDT Fabien,FRANCE,RLM,23,76
198,10004818355,CARDOSO Manuel,PORTUGAL,CJR,29,76
199,10001544102,AMORISON Frédéric,BELGIUM,LAN,34,75
200,10004766320,DE VREESE Laurens,BELGIUM,TSV,24,75
201,10003204418,GESCHKE Simon,GERMANY,ARG,26,75
202,10007387845,POUX Paul,FRANCE,SAU,28,74
203,10003019815,MANGEL Laurent,FRANCE,SAU,31,74
204,10001177219,RADOCHLA Steffen,GERMANY,NSP,34,74
205,10004508157,VERMEULEN Jeff,NETHERLANDS,MET,24,74
206,10004640725,ZOIDL Riccardo,AUSTRIA,RAD,24,"73,6"
207,10003314552,WALCZAK Damian,POLAND,BDC,28,73
208,10006497970,REGUIGUI Youcef,ALGERIA,GSP,22,73
209,10003223818,ROLLAND Pierre,FRANCE,EUC,26,73
210,10006058137,HELVEN Sander,BELGIUM,,22,72
211,10002963635,LEMOINE Cyril,FRANCE,SAU,29,72
212,10007513541,PIBERNIK Luka,SLOVENIA,RAR,19,71
213,10004589595,BAZZANA Alessandro,ITALY,TT1,28,71
214,10004444402,ROSSETTO Stéphane,FRANCE,,25,70
215,10002543606,WILKINSON Ian,GREAT BRITAIN,EDR,33,70
216,10008031984,LE MONTAGNER Maxime,FRANCE,VRU,21,70
217,10001271286,BALIANI Fortunato,ITALY,PPO,38,70
218,10001428308,VAN DIJK Stefan *,NETHERLANDS,ACC,36,70
219,10001299174,ROGINA Radoslav,CROATIA,ADR,33,70
220,10004443792,PLANCKAERT Baptiste,BELGIUM,LAN,24,69
221,10002727195,EIBEGGER Markus,AUSTRIA,RAD,28,"68,6"
222,10006049750,NOVÁK Jakub,CZECH REPUBLIC,,22,68
223,10006114620,ALAFACI Eugenio,ITALY,LET,22,68
224,10006070867,LE BON Johan,FRANCE,BSC,22,68
225,10005845545,VALENCIA Juan Pablo,COLOMBIA,,24,68
226,10007454533,OLSSON Michael,SWEDEN,TCC,26,68
227,10005467447,BATTAGLIN Enrico,ITALY,COG,23,"67,2"
228,10003229070,DELPECH Jean-Luc,FRANCE,BSC,33,67
229,10003096304,HOCHMANN Jirí,CZECH REPUBLIC,ADP,26,66
230,10008672487,FEDI Andrea,ITALY,,21,66
231,10003248268,CHTIOUI Rafaa,TUNISIA,EUC,26,66
232,10006473520,PREIDLER Georg,AUSTRIA,TT1,22,66
233,10002283827,WADECKI Adam,POLAND,BDC,35,66
234,10005335283,DECLERCQ Tim,BELGIUM,TSV,23,65
235,10004521594,KUNSHIN Alexey,RUSSIAN FEDERATION,LOK,25,65
236,10005874645,DELAPLACE Anthony,FRANCE,SAU,23,65
237,10007622463,PHELAN Adam,AUSTRALIA,DPC,21,64
238,10007491717,DOMBROWSKI Joseph Lloyd,UNITED STATES OF AMERICA,BLS,21,64
239,10002833592,DUIJN Huub,NETHERLANDS,RIJ,28,64
240,10007491111,DEMOITIE Antoine,BELGIUM,FWB,22,64
241,10003162079,SCHWEIZER Michael,GERMANY,TSP,29,64
242,10004503511,CHAIGNEAU Robin,NETHERLANDS,KOG,24,63
243,10006118862,BOSWELL Ian,UNITED STATES OF AMERICA,BLS,21,63
244,10002064767,PALOMARES VILLAPLANA Adrian,SPAIN,ACG,36,63
245,10006720161,HOWSON Damien,AUSTRALIA,JAI,20,"62,25"
246,10006875563,BYSTRØM Sven Erik,NORWAY,OHR,20,62
247,10004885144,BALDO Nicolas,FRANCE,ARH,28,62
248,10006502014,HAVIK Yoeri,NETHERLANDS,RIJ,21,62
249,10006503428,TANRIVERDI Ali Riza,TURKEY,,21,61
250,10004599396,KONONENKO Mykhaylo,UKRAINE,KLS,25,60
251,10005963763,RUFFONI Nicola,ITALY,,22,60
252,10003193405,DE MARIA Giuseppe,ITALY,IDE,28,60
253,10002618980,GOLČER Jure,SLOVENIA,TIR,35,60
254,10001447102,SOUSA Rui,PORTUGAL,EFG,36,59
255,10004613847,JARC Blaz,SLOVENIA,APP,24,"58,75"
256,10003272217,KÖNIG Leopold,CZECH REPUBLIC,APP,25,"58,6"
257,10005986294,FREIBERG Michael,AUSTRALIA,JAI,22,"58,25"
258,10003274843,GRASHEV Martin,BULGARIA,,25,58
259,10001551374,SIJMENS Nico,BELGIUM,COF,34,58
260,10007169795,GOOS Marc,NETHERLANDS,RB3,22,58
261,10006428353,BAGGIO Filippo,ITALY,UNA,24,58
262,10004635166,KRIZEK Matthias,AUSTRIA,,24,"57,2"
