Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
258,10002858248,VANENDERT Jelle,BELGIUM,LTS,32,295,
259,10003206741,KREDER Michel,NETHERLANDS,ABS,30,295,
260,10011129823,GALDOUNE Ahmed Amine,MOROCCO,,21,294,
261,10005961137,POZDNYAKOV Kirill,AZERBAIJAN,BCP,28,294,
262,10006144831,EDET Nicolas,FRANCE,COF,30,293,
263,10009340878,MONSALVE Yonnatta,BOLIVARIAN REPUBLIC OF VENEZUELA,TYD,28,292,
264,10003245339,MARCZYNSKI Tomasz,POLAND,LTS,33,292,
265,10004759650,HOWES Alex,UNITED STATES OF AMERICA,CDT,29,292,
266,10006679644,KIRSCH Alex,LUXEMBOURG,WVA,25,291,
267,10004563428,SCHULTING Peter,NETHERLANDS,DJP,30,291,
268,10025135209,TOUZE Damien,FRANCE,AUB,21,291,
269,10008700880,VILLELLA Davide,ITALY,CDT,26,288,
270,10006720161,HOWSON Damien,AUSTRALIA,ORS,25,285,
271,10009971378,CAVAGNA Rémi,FRANCE,QST,22,284,
272,10005966288,VAN DER SANDE Tosh,BELGIUM,LTS,27,284,
273,10009910350,PARK Sang Hong,KOREA,LXC,28,282,
274,10007156762,LIENHARD Fabian,SWITZERLAND,VOL,24,282,
275,10008674208,GODOY Yonder,BOLIVARIAN REPUBLIC OF VENEZUELA,WIL,24,279,
276,10008673501,GEOGHEGAN HART Tao,GREAT BRITAIN,SKY,22,277,
277,10006658426,CHERNETSKII Sergei,RUSSIAN FEDERATION,AST,27,276,
278,10003223818,ROLLAND Pierre,FRANCE,CDT,31,276,
279,10003025875,PAUWELS Serge,BELGIUM,DDD,34,275,
280,10074893377,SOTO MARTINEZ Nelson,COLOMBIA,ECZ,23,275,
281,10002728411,DEVENYNS Dries,BELGIUM,QST,34,273,
282,10005840188,JENSEN Christopher,DENMARK,ORS,28,271,
283,10051354511,LOBATO DEL VALLE Juan Jose,SPAIN,TLJ,29,271,
284,10006919316,GONÇALVES José,PORTUGAL,KAT,28,270,
285,10002916448,IMPEY Daryl,SOUTH AFRICA,ORS,33,270,
286,10008685726,MAS NICOLAU Enric,SPAIN,QST,22,270,
287,10009807387,PEYSKENS Dimitri,BELGIUM,WVA,26,270,
288,10007991972,FRAILE MATARRANZ Omar,SPAIN,DDD,27,270,
289,10005391564,BRÄNDLE Matthias,AUSTRIA,TFS,28,269,
290,10010994932,BANASZEK Alan,POLAND,CCC,20,269,
291,10005595264,LEBAS Thomas,FRANCE,KIN,32,268,
292,10003088826,MORENO FERNANDEZ Daniel,SPAIN,MOV,36,268,
293,10002071841,KIRYIENKA Vasil,BELARUS,SKY,36,267,
294,10002921805,KONOVALOVAS Ignatas,LITHUANIA,FDJ,32,262,
295,10045463375,WALSCHEID Maximilian Richard,GERMANY,SUN,24,262,
296,10007753415,MOLARD Rudy,FRANCE,FDJ,28,261,
297,10009318549,TOTÒ Paolo,ITALY,,26,259,
298,10005583948,ABERASTURI IZAGA Jon,SPAIN,UKO,28,259,
299,10004640624,ZIELINSKI Kamil,POLAND,DSP,29,259,
300,10003225838,DENIFL Stefan,AUSTRIA,ABS,30,259,
301,10008681379,LAWLESS Christopher,GREAT BRITAIN,AHB,22,258,
302,10008697446,TESHOME Meron,ERITREA,BAI,25,258,
303,10007527988,RÄIM Mihkel,ESTONIA,ICA,24,258,
304,10007964589,NIELSEN Nicolai Philip,DENMARK,RIW,24,257,
305,10009401809,CASTELIJNS Twan,NETHERLANDS,TLJ,28,256,
306,10002833996,ROELANDTS Jurgen,BELGIUM,LTS,32,253,
307,10006271335,MANNION Gavin,UNITED STATES OF AMERICA,UHC,26,253,
308,10007501316,CARPENTER Robin,UNITED STATES OF AMERICA,HCR,25,253,
309,10006535356,LAENGEN Vegard Stake,NORWAY,UAD,28,251,
310,10005608604,COOPER Joseph,NEW ZEALAND,IWS,32,250,
311,10008671073,EIKING Odd Christian,NORWAY,FDJ,23,248,
312,10005512008,GUARDIOLA TORA Salvador,SPAIN,UKO,29,248,
313,10008699062,VAN GESTEL Dries,BELGIUM,SVB,23,248,
314,10004693568,GATTO Oscar,ITALY,AST,32,247,
315,10009392412,VENDRAME Andrea,ITALY,ANS,23,245,
316,10008990971,LECROQ Jérémy,FRANCE,RLM,22,245,
317,10075106575,PUJOL MUÑOZ Oscar,SPAIN,UKO,34,244,
